Timestamp,Class
2024-10-01 13:23:10,car
2024-10-01 13:23:10,car
2024-10-01 13:23:10,car
2024-10-01 13:23:10,car
2024-10-01 13:23:10,car
2024-10-01 13:23:10,car
2024-10-01 13:23:10,car
2024-10-01 13:23:10,car
2024-10-01 13:23:10,car
2024-10-01 13:23:10,car
2024-10-01 13:23:10,car
2024-10-01 13:23:10,car
2024-10-01 13:23:10,car
2024-10-01 13:23:11,car
2024-10-01 13:23:11,car
2024-10-01 13:23:11,car
2024-10-01 13:23:11,car
2024-10-01 13:23:11,car
2024-10-01 13:23:11,car
2024-10-01 13:23:11,car
2024-10-01 13:23:11,car
2024-10-01 13:23:11,car
2024-10-01 13:23:11,car
2024-10-01 13:23:11,truck
2024-10-01 13:23:11,car
2024-10-01 13:23:11,car
2024-10-01 13:23:11,car
2024-10-01 13:23:11,car
2024-10-01 13:23:11,truck
2024-10-01 13:23:13,car
2024-10-01 13:23:13,car
2024-10-01 13:23:13,car
2024-10-01 13:23:13,car
2024-10-01 13:23:13,car
2024-10-01 13:23:13,car
2024-10-01 13:23:13,car
2024-10-01 13:23:13,car
2024-10-01 13:23:13,car
2024-10-01 13:23:13,car
2024-10-01 13:23:13,car
2024-10-01 13:23:13,car
2024-10-01 13:23:13,car
2024-10-01 13:23:13,car
2024-10-01 13:23:13,car
2024-10-01 13:23:13,car
2024-10-01 13:23:13,car
2024-10-01 13:23:13,car
2024-10-01 13:23:13,car
2024-10-01 13:23:13,car
2024-10-01 13:23:13,car
2024-10-01 13:23:13,car
2024-10-01 13:23:14,car
2024-10-01 13:23:14,car
2024-10-01 13:23:14,car
2024-10-01 13:23:14,car
2024-10-01 13:23:14,car
2024-10-01 13:23:14,car
2024-10-01 13:23:14,car
2024-10-01 13:23:14,car
2024-10-01 13:23:14,car
2024-10-01 13:23:14,car
2024-10-01 13:23:14,car
2024-10-01 13:23:14,car
2024-10-01 13:23:14,car
2024-10-01 13:23:14,car
2024-10-01 13:23:14,car
2024-10-01 13:23:14,car
2024-10-01 13:23:15,car
2024-10-01 13:23:15,car
2024-10-01 13:23:15,car
2024-10-01 13:23:15,car
2024-10-01 13:23:15,car
2024-10-01 13:23:15,car
2024-10-01 13:23:15,car
2024-10-01 13:23:15,car
2024-10-01 13:23:15,car
2024-10-01 13:23:15,car
2024-10-01 13:23:15,car
2024-10-01 13:23:15,car
2024-10-01 13:23:15,car
2024-10-01 13:23:15,car
2024-10-01 13:23:15,car
2024-10-01 13:23:15,car
2024-10-01 13:23:15,car
2024-10-01 13:23:15,car
2024-10-01 13:23:15,car
2024-10-01 13:23:15,car
2024-10-01 13:23:16,car
2024-10-01 13:23:16,car
2024-10-01 13:23:16,car
2024-10-01 13:23:16,car
2024-10-01 13:23:16,car
2024-10-01 13:23:16,car
2024-10-01 13:23:16,car
2024-10-01 13:23:16,car
2024-10-01 13:23:16,car
2024-10-01 13:23:16,car
2024-10-01 13:23:16,truck
2024-10-01 13:23:16,car
2024-10-01 13:23:16,car
2024-10-01 13:23:16,car
2024-10-01 13:23:16,truck
2024-10-01 13:23:16,car
2024-10-01 13:23:16,car
2024-10-01 13:23:16,car
2024-10-01 13:23:16,truck
2024-10-01 13:23:17,car
2024-10-01 13:23:17,car
2024-10-01 13:23:17,car
2024-10-01 13:23:17,car
2024-10-01 13:23:17,car
2024-10-01 13:23:17,car
2024-10-01 13:23:17,car
2024-10-01 13:23:17,car
2024-10-01 13:23:17,car
2024-10-01 13:23:17,car
2024-10-01 13:23:17,truck
2024-10-01 13:23:17,car
2024-10-01 13:23:17,car
2024-10-01 13:23:17,car
2024-10-01 13:23:17,car
2024-10-01 13:23:18,car
2024-10-01 13:23:18,car
2024-10-01 13:23:18,car
2024-10-01 13:23:18,truck
2024-10-01 13:23:18,car
2024-10-01 13:23:18,car
2024-10-01 13:23:18,car
2024-10-01 13:23:18,car
2024-10-01 13:23:18,car
2024-10-01 13:23:18,car
2024-10-01 13:23:18,car
2024-10-01 13:23:18,car
2024-10-01 13:23:18,car
2024-10-01 13:23:18,car
2024-10-01 13:23:18,car
2024-10-01 13:23:18,car
2024-10-01 13:23:18,car
2024-10-01 13:23:18,car
2024-10-01 13:23:18,car
2024-10-01 13:23:18,car
2024-10-01 13:23:19,car
2024-10-01 13:23:19,car
2024-10-01 13:23:19,car
2024-10-01 13:23:19,car
2024-10-01 13:23:19,car
2024-10-01 13:23:19,car
2024-10-01 13:23:19,car
2024-10-01 13:23:19,car
